platform	target	subtarget	device	name	soc	edition	channel	max_feature
mtk	mediatek	filogic	cudy_wr3000h-v1-ubootmod	Cudy WR3000H v1 (OpenWrt U-Boot layout)	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_wr3000h-v1-ubootmod	Cudy WR3000H v1 (OpenWrt U-Boot layout)	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_wr3000p-v1	Cudy WR3000P v1	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cudy_wr3000p-v1	Cudy WR3000P v1	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cudy_wr3000p-v1	Cudy WR3000P v1	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cudy_wr3000p-v1	Cudy WR3000P v1	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cudy_wr3000p-v1-ubootmod	Cudy WR3000P v1 (OpenWrt U-Boot layout)	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cudy_wr3000p-v1-ubootmod	Cudy WR3000P v1 (OpenWrt U-Boot layout)	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cudy_wr3000p-v1-ubootmod	Cudy WR3000P v1 (OpenWrt U-Boot layout)	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cudy_wr3000p-v1-ubootmod	Cudy WR3000P v1 (OpenWrt U-Boot layout)	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cudy_wr3000s-v1	Cudy WR3000S v1	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_wr3000s-v1	Cudy WR3000S v1	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_wr3000s-v1	Cudy WR3000S v1	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_wr3000s-v1	Cudy WR3000S v1	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_wr3000s-v1-ubootmod	Cudy WR3000S v1 (OpenWrt U-Boot layout)	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_wr3000s-v1-ubootmod	Cudy WR3000S v1 (OpenWrt U-Boot layout)	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_wr3000s-v1-ubootmod	Cudy WR3000S v1 (OpenWrt U-Boot layout)	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_wr3000s-v1-ubootmod	Cudy WR3000S v1 (OpenWrt U-Boot layout)	mt7981	pro	lts	standard
mtk	mediatek	filogic	dlink_aquila-pro-ai-e30-a1	D-Link AQUILA PRO AI E30 A1	mt7981	open	edge	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-e30-a1	D-Link AQUILA PRO AI E30 A1	mt7981	open	lts	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-e30-a1	D-Link AQUILA PRO AI E30 A1	mt7981	pro	edge	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-e30-a1	D-Link AQUILA PRO AI E30 A1	mt7981	pro	lts	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m30-a1	D-Link AQUILA PRO AI M30 A1	mt7981	open	edge	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m30-a1	D-Link AQUILA PRO AI M30 A1	mt7981	open	lts	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m30-a1	D-Link AQUILA PRO AI M30 A1	mt7981	pro	edge	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m30-a1	D-Link AQUILA PRO AI M30 A1	mt7981	pro	lts	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m60-a1	D-Link AQUILA PRO AI M60 A1	mt7986	open	edge	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m60-a1	D-Link AQUILA PRO AI M60 A1	mt7986	open	lts	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m60-a1	D-Link AQUILA PRO AI M60 A1	mt7986	pro	edge	core
mtk	mediatek	filogic	dlink_aquila-pro-ai-m60-a1	D-Link AQUILA PRO AI M60 A1	mt7986	pro	lts	core
mtk	mediatek	filogic	edgecore_eap111	Edgecore EAP111	mt7981	open	edge	standard
mtk	mediatek	filogic	edgecore_eap111	Edgecore EAP111	mt7981	open	lts	standard
mtk	mediatek	filogic	edgecore_eap111	Edgecore EAP111	mt7981	pro	edge	standard
